"Genre","Titel","Spielfilmlänge","Bewertung","Wählerstimmen","Einnahmen","Metascore"
"1","Action","Guardians of the Galaxy",121,8.1,757074,333.13,76
"2","Adventure","Prometheus",124,7,485820,126.46,65
"3","Horror","Split",117,7.3,157606,138.12,62
"4","Animation","Sing",108,7.2,60545,270.32,59
"5","Action","Suicide Squad",123,6.2,393727,325.02,40
"6","Action","The Great Wall",103,6.1,56036,45.13,42
"7","Comedy","La La Land",128,8.3,258682,151.06,93
"8","Comedy","Mindhorn",89,6.4,2490,NA,71
"9","Action","The Lost City of Z",141,7.1,7188,8.01,78
"10","Adventure","Passengers",116,7,192177,100.01,41
"11","Adventure","Fantastic Beasts and Where to Find Them",133,7.5,232072,234.02,66
"12","Biography","Hidden Figures",127,7.8,93103,169.27,74
"13","Action","Rogue One",133,7.9,323118,532.17,65
"14","Animation","Moana",107,7.7,118151,248.75,81
"15","Action","Colossal",109,6.4,8612,2.87,70
"16","Animation","The Secret Life of Pets",87,6.6,120259,368.31,61
"17","Biography","Hacksaw Ridge",139,8.2,211760,67.12,71
"18","Action","Jason Bourne",123,6.7,150823,162.16,58
"19","Biography","Lion",118,8.1,102061,51.69,69
"20","Drama","Arrival",116,8,340798,100.5,81
"21","Adventure","Gold",120,6.7,19053,7.22,49
"22","Drama","Manchester by the Sea",137,7.9,134213,47.7,96
"23","Crime","Hounds of Love",108,6.7,1115,NA,72
"24","Animation","Trolls",92,6.5,38552,153.69,56
"25","Action","Independence Day: Resurgence",120,5.3,127553,103.14,32
"26","Comedy","Paris pieds nus",83,6.8,222,NA,NA
"27","Action","Bahubali: The Beginning",159,8.3,76193,6.5,NA
"28","Horror","Dead Awake",99,4.7,523,0.01,NA
"29","Comedy","Bad Moms",100,6.2,66540,113.08,60
"30","Action","Assassin's Creed",115,5.9,112813,54.65,36
"31","Comedy","Why Him?",111,6.3,48123,60.31,39
"32","Drama","Nocturnal Animals",116,7.5,126030,10.64,67
"33","Action","X-Men: Apocalypse",144,7.1,275510,155.33,52
"34","Action","Deadpool",108,8,627797,363.02,65
"35","Action","Resident Evil: The Final Chapter",107,5.6,46165,26.84,49
"36","Action","Captain America: Civil War",147,7.9,411656,408.08,75
"37","Adventure","Interstellar",169,8.6,1047747,187.99,74
"38","Action","Doctor Strange",115,7.6,293732,232.6,72
"39","Action","The Magnificent Seven",132,6.9,122853,93.38,54
"40","Comedy","5- 25- 77",113,7.1,241,NA,NA
"41","Animation","Sausage Party",89,6.3,120690,97.66,66
"42","Drama","Moonlight",111,7.5,135095,27.85,99
"43","Horror","Don't Fuck in the Woods",73,2.7,496,NA,NA
"44","Biography","The Founder",115,7.2,37033,12.79,66
"45","Drama","Lowriders",99,6.3,279,4.21,57
"46","Action","Pirates of the Caribbean: On Stranger Tides",136,6.7,395025,241.06,45
"47","Drama","Miss Sloane",132,7.3,17818,3.44,64
"48","Adventure","Fallen",91,5.6,5103,NA,NA
"49","Action","Star Trek Beyond",122,7.1,164567,158.8,68
"50","Drama","The Last Face",130,3.7,987,NA,16
"51","Action","Star Wars: Episode VII - The Force Awakens",136,8.1,661608,936.63,81
"52","Action","Underworld: Blood Wars",91,5.8,41362,30.35,23
"53","Comedy","Mother's Day",118,5.6,20221,32.46,18
"54","Action","John Wick",101,7.2,321933,43,68
"55","Action","The Dark Knight",152,9,1791916,533.32,82
"56","Adventure","Silence",161,7.3,49190,7.08,79
"57","Crime","Don't Breathe",88,7.2,121103,89.21,71
"58","Drama","Me Before You",106,7.4,113322,56.23,51
"59","Comedy","Their Finest",117,7,3739,3.18,76
"60","Biography","Sully",96,7.5,137608,125.07,74
"61","Action","Batman v Superman: Dawn of Justice",151,6.7,472307,330.25,44
"62","Horror","The Autopsy of Jane Doe",86,6.8,35870,NA,65
"63","Crime","The Girl on the Train",112,6.5,102177,75.31,48
"64","Drama","Fifty Shades of Grey",125,4.1,244474,166.15,46
"65","Drama","The Prestige",130,8.5,913152,53.08,66
"66","Action","Kingsman: The Secret Service",129,7.7,440209,128.25,58
"67","Drama","Patriots Day",133,7.4,39784,31.86,69
"68","Action","Mad Max: Fury Road",120,8.1,632842,153.63,90
"69","Drama","Wakefield",106,7.5,291,0.01,61
"70","Action","Deepwater Horizon",107,7.2,89849,61.28,68
"71","Drama","The Promise",133,5.9,149791,NA,49
"72","Action","Allied",124,7.1,78079,40.07,60
"73","Drama","A Monster Calls",108,7.5,39134,3.73,76
"74","Drama","Collateral Beauty",97,6.8,43977,30.98,23
"75","Animation","Zootopia",108,8.1,296853,341.26,78
"76","Action","Pirates of the Caribbean: At World's End",169,7.1,498821,309.4,50
"77","Action","The Avengers",143,8.1,1045588,623.28,69
"78","Adventure","Inglourious Basterds",153,8.3,959065,120.52,69
"79","Action","Pirates of the Caribbean: Dead Man's Chest",151,7.3,552027,423.03,53
"80","Action","Ghostbusters",116,5.3,147717,128.34,60
"81","Action","Inception",148,8.8,1583625,292.57,74
"82","Comedy","Captain Fantastic",118,7.9,105081,5.88,72
"83","Biography","The Wolf of Wall Street",180,8.2,865134,116.87,75
"84","Crime","Gone Girl",149,8.1,636243,167.74,79
"85","Action","Furious Seven",137,7.2,301249,350.03,67
"86","Action","Jurassic World",124,7,455169,652.18,59
"87","Crime","Live by Night",129,6.4,27869,10.38,49
"88","Action","Avatar",162,7.8,935408,760.51,83
"89","Crime","The Hateful Eight",187,7.8,341170,54.12,68
"90","Action","The Accountant",128,7.4,162122,86.2,51
"91","Crime","Prisoners",153,8.1,431185,60.96,74
"92","Action","Warcraft",123,7,187547,47.17,32
"93","Drama","The Help",146,8.1,342429,169.71,62
"94","Comedy","War Dogs",114,7.1,106463,43.02,57
"95","Action","Avengers: Age of Ultron",141,7.4,516895,458.99,66
"96","Action","The Nice Guys",116,7.4,175067,36.25,70
"97","Animation","Kimi no na wa",106,8.6,34110,4.68,79
"98","Horror","The Void",90,5.8,9247,0.15,62
"99","Drama","Personal Shopper",105,6.3,10181,1.29,77
"100","Crime","The Departed",151,8.5,937414,132.37,85
"101","Biography","Legend",132,7,108836,1.87,55
"102","Action","Thor",115,7,570814,181.02,57
"103","Adventure","The Martian",144,8,556097,228.43,80
"104","Crime","Contratiempo",106,7.9,7204,NA,NA
"105","Action","The Man from U.N.C.L.E.",116,7.3,202973,45.43,56
"106","Crime","Hell or High Water",102,7.7,115546,26.86,88
"107","Comedy","The Comedian",120,5.4,1954,1.66,40
"108","Action","The Legend of Tarzan",110,6.3,117590,126.59,44
"109","Drama","All We Had",105,5.8,1004,NA,48
"110","Drama","Ex Machina",108,7.7,339797,25.44,78
"111","Action","The Belko Experiment",89,6.3,3712,10.16,44
"112","Biography","12 Years a Slave",134,8.1,486338,56.67,96
"113","Romance","The Bad Batch",118,6.1,512,NA,65
"114","Action","300",117,7.7,637104,210.59,52
"115","Adventure","Harry Potter and the Deathly Hallows: Part 2",130,8.1,590595,380.96,87
"116","Comedy","Office Christmas Party",105,5.8,30761,54.73,42
"117","Horror","The Neon Demon",118,6.2,50359,1.33,51
"118","Action","Dangal",161,8.8,48969,11.15,NA
"119","Drama","10 Cloverfield Lane",104,7.2,192968,71.9,76
"120","Animation","Finding Dory",97,7.4,157026,486.29,77
"121","Adventure","Miss Peregrine's Home for Peculiar Children",127,6.7,101058,87.24,57
"122","Adventure","Divergent",139,6.7,362093,150.83,48
"123","Adventure","Mike and Dave Need Wedding Dates",98,6,53183,46.01,51
"124","Action","Boyka: Undisputed IV",86,7.4,10428,NA,NA
"125","Action","The Dark Knight Rises",164,8.5,1222645,448.13,78
"126","Adventure","The Jungle Book",106,7.5,198243,364,77
"127","Action","Transformers: Age of Extinction",165,5.7,255483,245.43,32
"128","Adventure","Nerve",96,6.6,69651,38.56,58
"129","Comedy","Mamma Mia!",108,6.4,153481,143.7,51
"130","Adventure","The Revenant",156,8,499424,183.64,76
"131","Drama","Fences",139,7.3,50953,57.64,79
"132","Adventure","Into the Woods",125,6,109756,128,69
"133","Drama","The Shallows",86,6.4,78328,55.12,59
"134","Drama","Whiplash",107,8.5,477276,13.09,88
"135","Action","Furious 6",130,7.1,318051,238.67,61
"136","Crime","The Place Beyond the Pines",140,7.3,200090,21.38,68
"137","Crime","No Country for Old Men",122,8.1,660286,74.27,91
"138","Drama","The Great Gatsby",143,7.3,386102,144.81,55
"139","Mystery","Shutter Island",138,8.1,855604,127.97,63
"140","Mystery","Brimstone",148,7.1,13004,NA,44
"141","Action","Star Trek",127,8,526324,257.7,82
"142","Comedy","Diary of a Wimpy Kid",94,6.2,34184,64,56
"143","Biography","The Big Short",130,7.8,246360,70.24,81
"144","Drama","Room",118,8.2,224132,14.68,86
"145","Drama","Django Unchained",165,8.4,1039115,162.8,81
"146","Drama","Ah-ga-ssi",144,8.1,33418,2.01,84
"147","Comedy","The Edge of Seventeen",104,7.4,47694,14.26,77
"148","Action","Watchmen",162,7.6,410249,107.5,56
"149","Comedy","Superbad",113,7.6,442082,121.46,76
"150","Action","Inferno",121,6.2,97623,34.26,42
"151","Adventure","The BFG",117,6.4,50853,55.47,66
"152","Adventure","The Hunger Games",142,7.2,735604,408,68
"153","Drama","White Girl",88,5.8,4299,0.2,65
"154","Action","Sicario",121,7.6,243230,46.88,82
"155","Drama","Twin Peaks: The Missing Pieces",91,8.1,1973,NA,NA
"156","Action","Aliens vs Predator - Requiem",94,4.7,97618,41.8,29
"157","Action","Pacific Rim",131,7,400519,101.79,64
"158","Comedy","Crazy, Stupid, Love.",118,7.4,396714,84.24,68
"159","Action","Scott Pilgrim vs. the World",112,7.5,291457,31.49,69
"160","Action","Hot Fuzz",121,7.9,373244,23.62,81
"161","Thriller","Mine",106,6,5926,NA,40
"162","Action","Free Fire",90,7,6946,1.8,63
"163","Action","X-Men: Days of Future Past",132,8,552298,233.91,74
"164","Action","Jack Reacher: Never Go Back",118,6.1,78043,58.4,47
"165","Action","Casino Royale",144,8,495106,167.01,80
"166","Drama","Twilight",122,5.2,361449,191.45,56
"167","Action","Now You See Me 2",129,6.5,156567,65.03,46
"168","Biography","Woman in Gold",109,7.3,39723,33.31,51
"169","Action","13 Hours",144,7.3,76935,52.82,48
"170","Action","Spectre",148,6.8,308981,200.07,60
"171","Crime","Nightcrawler",118,7.9,332476,32.28,76
"172","Animation","Kubo and the Two Strings",101,7.9,72778,48.02,84
"173","Adventure","Beyond the Gates",84,5.2,2127,NA,59
"174","Drama","Her",126,8,390531,25.56,90
"175","Animation","Frozen",102,7.5,451894,400.74,74
"176","Action","Tomorrowland",130,6.5,143069,93.42,60
"177","Action","Dawn of the Planet of the Apes",130,7.6,337777,208.54,79
"178","Action","Tropic Thunder",107,7,321442,110.42,71
"179","Horror","The Conjuring 2",134,7.4,137203,102.46,65
"180","Action","Ant-Man",117,7.3,368912,180.19,64
"181","Comedy","Bridget Jones's Baby",118,6.7,43086,24.09,59
"182","Horror","The VVitch: A New-England Folktale",92,6.8,101781,25.14,83
"183","Drama","Cinderella",105,7,117018,201.15,67
"184","Sci","Realive",112,5.9,1176,NA,NA
"185","Drama","Forushande",124,8,22389,3.4,85
"186","Drama","Love",135,6,24003,NA,51
"187","Drama","Billy Lynn's Long Halftime Walk",113,6.3,11944,1.72,53
"188","Drama","Crimson Peak",119,6.6,97454,31.06,66
"189","Crime","Drive",100,7.8,461509,35.05,78
"190","Comedy","Trainwreck",125,6.3,106364,110.01,75
"191","Drama","The Light Between Oceans",133,7.2,27382,12.53,60
"192","Drama","Below Her Mouth",94,5.6,1445,NA,42
"193","Crime","Spotlight",128,8.1,268282,44.99,93
"194","Horror","Morgan",92,5.8,22107,3.91,48
"195","Action","Warrior",140,8.2,355722,13.65,71
"196","Action","Captain America: The First Avenger",124,6.9,547368,176.64,66
"197","Crime","Hacker",95,6.3,3799,NA,NA
"198","Adventure","Into the Wild",148,8.1,459304,18.35,73
"199","Biography","The Imitation Game",114,8.1,532353,91.12,73
"200","Action","Central Intelligence",107,6.3,97082,127.38,52
"201","Action","Edge of Tomorrow",113,7.9,471815,100.19,71
"202","Drama","A Cure for Wellness",146,6.5,12193,8.1,47
"203","Biography","Snowden",134,7.3,79855,21.48,58
"204","Action","Iron Man",126,7.9,737719,318.3,79
"205","Action","Allegiant",120,5.7,70504,66,33
"206","Action","X: First Class",132,7.8,550011,146.41,65
"207","Drama","Raw (II)",99,7.5,5435,0.51,81
"208","Comedy","Paterson",118,7.5,26089,2.14,90
"209","Comedy","Bridesmaids",125,6.8,227912,169.08,75
"210","Drama","The Girl with All the Gifts",111,6.7,23713,NA,67
"211","Action","San Andreas",114,6.1,161396,155.18,43
"212","Drama","Spring Breakers",94,5.3,114290,14.12,63
"213","Action","Transformers",144,7.1,531112,318.76,61
"214","Action","Old Boy",104,5.8,54679,NA,49
"215","Action","Thor: The Dark World",112,7,443584,206.36,54
"216","Action","Gods of Egypt",126,5.5,73568,31.14,25
"217","Action","Captain America: The Winter Soldier",136,7.8,542362,259.75,70
"218","Action","Monster Trucks",104,5.7,7044,33.04,41
"219","Drama","A Dark Song",100,6.1,1703,NA,67
"220","Action","Kick-Ass",117,7.7,456749,48.04,66
"221","Action","Hardcore Henry",96,6.7,61098,9.24,51
"222","Animation","Cars",117,7.1,283445,244.05,73
"223","Horror","It Follows",100,6.9,136399,14.67,83
"224","Crime","The Girl with the Dragon Tattoo",158,7.8,348551,102.52,71
"225","Comedy","We're the Millers",110,7,334867,150.37,44
"226","Drama","American Honey",163,7,19660,0.66,79
"227","Comedy","The Lobster",119,7.1,121313,8.7,82
"228","Action","Predators",107,6.4,179450,52,51
"229","Action","Maleficent",97,7,268877,241.41,56
"230","Horror","Rupture",102,4.8,2382,NA,35
"231","Drama","Pan's Labyrinth",118,8.2,498879,37.62,98
"232","Crime","A Kind of Murder",95,5.2,3305,0,50
"233","Action","Apocalypto",139,7.8,247926,50.86,68
"234","Action","Mission: Impossible - Rogue Nation",131,7.4,257472,195,75
"235","Action","The Huntsman: Winter's War",114,6.1,66766,47.95,35
"236","Drama","The Perks of Being a Wallflower",102,8,377336,17.74,67
"237","Biography","Jackie",100,6.8,41446,13.96,81
"238","Drama","The Disappointments Room",85,3.9,4895,2.41,31
"239","Adventure","The Grand Budapest Hotel",99,8.1,530881,59.07,88
"240","Action","The Host",125,5.9,96852,26.62,35
"241","Action","Fury",134,7.6,332234,85.71,64
"242","Animation","Inside Out",95,8.2,416689,356.45,94
"243","Animation","Rock Dog",90,5.8,1109,9.4,48
"244","Action","Terminator Genisys",126,6.5,205365,89.73,38
"245","Adventure","Percy Jackson & the Olympians: The Lightning Thief",118,5.9,148949,88.76,47
"246","Drama","Les Misérables",158,7.6,257426,148.78,63
"247","Drama","Children of Men",109,7.9,382910,35.29,84
"248","Comedy","20th Century Women",119,7.4,14708,5.66,83
"249","Action","Spy",119,7.1,188017,110.82,75
"250","Biography","The Intouchables",112,8.6,557965,13.18,57
"251","Comedy","Bonjour Anne",92,4.9,178,0.32,50
"252","Drama","Kynodontas",94,7.3,50946,0.11,73
"253","Biography","Straight Outta Compton",147,7.9,139831,161.03,72
"254","Action","The Amazing Spider-Man 2",142,6.7,342183,202.85,53
"255","Horror","The Conjuring",112,7.5,330305,137.39,68
"256","Comedy","The Hangover",100,7.8,611563,277.31,73
"257","Action","Battleship",131,5.8,210349,65.17,41
"258","Action","Rise of the Planet of the Apes",105,7.6,422290,176.74,68
"259","Horror","Lights Out",81,6.4,69823,67.24,58
"260","Drama","Norman: The Moderate Rise and Tragic Fall of a New York Fixer",118,7.1,664,2.27,76
"261","Comedy","Birdman or (The Unexpected Virtue of Ignorance)",119,7.8,440299,42.34,88
"262","Drama","Black Swan",108,8,581518,106.95,79
"263","Comedy","Dear White People",108,6.2,21715,4.4,79
"264","Drama","Nymphomaniac: Vol. I",117,7,90556,0.79,64
"265","Action","Teenage Mutant Ninja Turtles: Out of the Shadows",112,6,59312,0.54,40
"266","Drama","Knock Knock",99,4.9,53441,0.03,53
"267","Comedy","Dirty Grandpa",102,6,75137,35.54,18
"268","Drama","Cloud Atlas",172,7.5,298651,27.1,55
"269","Action","X-Men Origins: Wolverine",107,6.7,388447,179.88,40
"270","Horror","Satanic",85,3.7,2384,NA,NA
"271","Action","Skyfall",143,7.8,547386,304.36,81
"272","Adventure","The Hobbit: An Unexpected Journey",169,7.9,668651,303,58
"273","Action","21 Jump Street",110,7.2,432046,138.45,69
"274","Comedy","Sing Street",106,8,52144,3.23,79
"275","Animation","Ballerina",89,6.8,4729,NA,NA
"276","Action","Oblivion",124,7,410125,89.02,54
"277","Action","22 Jump Street",112,7.1,280110,191.62,71
"278","Crime","Zodiac",157,7.7,329683,33.05,78
"279","Comedy","Everybody Wants Some!!",117,7,36312,3.37,83
"280","Action","Iron Man Three",130,7.2,591023,408.99,62
"281","Crime","Now You See Me",115,7.3,492324,117.7,50
"282","Action","Sherlock Holmes",128,7.6,501769,209.02,57
"283","Thriller","Death Proof",113,7.1,220236,NA,NA
"284","Biography","The Danish Girl",119,7,110773,12.71,66
"285","Action","Hercules",98,6,122838,72.66,47
"286","Action","Sucker Punch",110,6.1,204874,36.38,33
"287","Action","Keeping Up with the Joneses",105,5.8,30405,14.9,34
"288","Action","Jupiter Ascending",127,5.3,150121,47.38,40
"289","Action","Masterminds",95,5.8,26508,17.36,47
"290","Thriller","Iris",99,6.1,726,NA,NA
"291","Action","Busanhaeng",118,7.5,58782,2.13,72
"292","Comedy","Pitch Perfect",112,7.2,226631,65,66
"293","Comedy","Neighbors 2: Sorority Rising",92,5.7,76327,55.29,58
"294","Drama","The Exception",107,7.7,96,NA,NA
"295","Action","Man of Steel",143,7.1,577010,291.02,55
"296","Drama","The Choice",111,6.6,20514,18.71,26
"297","Animation","Ice Age: Collision Course",94,5.7,34523,64.06,34
"298","Comedy","The Devil Wears Prada",109,6.8,302268,124.73,62
"299","Biography","The Infiltrator",127,7.1,43929,15.43,66
"300","Drama","There Will Be Blood",158,8.1,400682,40.22,92
"301","Action","The Equalizer",132,7.2,249425,101.53,57
"302","Action","Lone Survivor",121,7.5,218996,125.07,60
"303","Horror","The Cabin in the Woods",95,7,295554,42.04,72
"304","Comedy","The House Bunny",97,5.5,67033,48.24,55
"305","Comedy","She's Out of My League",104,6.4,105619,31.58,46
"306","Comedy","Inherent Vice",148,6.7,69509,8.09,81
"307","Adventure","Alice Through the Looking Glass",113,6.2,57207,77.04,34
"308","Crime","Vincent N Roxxy",110,5.5,403,NA,NA
"309","Action","The Fast and the Furious: Tokyo Drift",104,6,193479,62.49,45
"310","Comedy","How to Be Single",110,6.1,59886,46.81,51
"311","Biography","The Blind Side",129,7.7,237221,255.95,53
"312","Drama","La vie d'Adèle",180,7.8,103150,2.2,88
"313","Drama","The Babadook",93,6.8,132580,0.92,86
"314","Adventure","The Hobbit: The Battle of the Five Armies",144,7.4,385598,255.11,59
"315","Adventure","Harry Potter and the Order of the Phoenix",138,7.5,385325,292,71
"316","Action","Snowpiercer",126,7,199048,4.56,84
"317","Action","The 5th Wave",112,5.2,73093,34.91,33
"318","Action","The Stakelander",81,5.3,1263,NA,NA
"319","Comedy","The Visit",94,6.2,81429,65.07,55
"320","Action","Fast Five",131,7.3,300803,209.81,66
"321","Crime","Step Up",104,6.5,95960,65.27,48
"322","Drama","Lovesong",84,6.4,616,0.01,74
"323","Action","RocknRolla",114,7.3,203096,5.69,53
"324","Action","In Time",109,6.7,319025,37.55,53
"325","Biography","The Social Network",120,7.7,510100,96.92,95
"326","Action","The Last Witch Hunter",106,6,71149,27.36,34
